.K-Outertainment Game System Loging [KGSL]
.Warcraft new generation
.Log in 2:08:10 PM Mon 9/12/2005
Parameter configuration processing complete.
Loading file GameData\Images\Icons\UnitButtons\UBPeasant.png from database complete
Loading file GameData\Images\Icons\UnitButtons\UBPeon.png from database complete
Loading file GameData\Images\Icons\UnitButtons\UBPeasant.png from database complete
Loading file GameData\Images\Icons\UnitButtons\UBPeon.png from database complete
Loading file GameData\Images\Icons\UnitButtons\UBFootman.png from database complete
Loading file GameData\Images\Icons\UnitButtons\UBGrunt.png from database complete
Loading file GameData\Images\Icons\UnitButtons\UBArcher.png from database complete
Loading file GameData\Images\Icons\UnitButtons\UBAxethrower.png from database complete
Loading file GameData\Images\Icons\UnitButtons\UBRanger.png from database complete
Loading file GameData\Images\Icons\UnitButtons\UBBerserker.png from database complete
Loading file GameData\Images\Icons\UnitButtons\UBKnight.png from database complete
Loading file GameData\Images\Icons\UnitButtons\UBOgre.png from database complete
Loading file GameData\Images\Icons\UnitButtons\UBPaladin.png from database complete
Loading file GameData\Images\Icons\UnitButtons\UBOgreMage.png from database complete
Loading file GameData\Images\Icons\UnitButtons\UBMage.png from database complete
Loading file GameData\Images\Icons\UnitButtons\UBDeathKnight.png from database complete
Loading file GameData\Images\Icons\UnitButtons\UBBallista.png from database complete
Loading file GameData\Images\Icons\UnitButtons\UBCatapul.png from database complete
Loading file GameData\Images\Icons\UnitButtons\UBFlyingMachine.png from database complete
Loading file GameData\Images\Icons\UnitButtons\UBZeppelin.png from database complete
Loading file GameData\Images\Icons\UnitButtons\UBDwarven.png from database complete
Loading file GameData\Images\Icons\UnitButtons\UBGoblin.png from database complete
Loading file GameData\Images\Icons\UnitButtons\UBDragon.png from database complete
Loading file GameData\Images\Icons\UnitButtons\UBDeathWing.png from database complete
Loading file GameData\Images\Icons\UnitButtons\UBXkeleton.png from database complete
Loading file GameData\Images\Icons\UnitButtons\UBDaemon.png from database complete
Loading file GameData\Images\Icons\UnitButtons\UBGoldMine.png from database complete
Loading file GameData\Images\Icons\UnitButtons\UBDarkPortal.png from database complete
Loading file GameData\Images\Icons\UnitButtons\UBTownHall.png from database complete
Loading file GameData\Images\Icons\UnitButtons\UBGreatHall.png from database complete
Loading file GameData\Images\Icons\UnitButtons\UBKeep.png from database complete
Loading file GameData\Images\Icons\UnitButtons\UBStrongHold.png from database complete
